2026-02-12 10:57:16.643 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 15468 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-12 10:57:16.644 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-12 10:57:16.644 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-12 10:57:17.489 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-12 10:57:17.495 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-12 10:57:17.495 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-12 10:57:17.514 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-12 10:57:17.514 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 826 ms
2026-02-12 10:57:17.554 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-12 10:57:17.564 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-12 10:57:17.685 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@203d1d93
2026-02-12 10:57:17.687 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-12 10:57:17.687 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-12 10:57:17.758 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:57:17.780 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.011s)
2026-02-12 10:57:17.784 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:57:17.786 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:57:17.789 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-12 10:57:17.875 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-12 10:57:17.948 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-12 10:57:18.173 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:57:18.175 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-12 10:57:18.176 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:57:18.176 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:57:18.317 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-12 10:57:18.335 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.101 seconds (process running for 2.532)
